"variable","bf_statistic","bf_p_value","bf_p_adj","bf_reject","eta_B_waba","eta_B_int","delta_eta_B","class_waba","class_iwaba","reclassified","pi_R","E_R_het_int","V_R_het"
"Probe_14719",2.26971832019199,0.00857122698880231,0.0113111747552688,TRUE,0.573682464495863,0.672103091606724,0.0984206271108604,"Within","Equivocal",TRUE,0.404582720919739,0.241154706742425,0.0388188641286235
"Probe_14720",2.6303675014639,0.00218208058202474,0.0032599293516614,TRUE,0.477459003641258,0.621273941246649,0.143814937605391,"Within","Equivocal",TRUE,0.530266340109481,0.248628724049265,0.0474831417184329
"Probe_14721",3.63014998976971,4.1092393561426e-05,9.51928349837303e-05,TRUE,0.584568579843719,0.678360395071767,0.0937918152280484,"Within","Equivocal",TRUE,0.391032198023978,0.311965401922151,0.0637417936474151
"Probe_14722",5.09978986951388,1.0743680156633e-07,5.27915981511151e-07,TRUE,0.393115449410895,0.583456994137616,0.190341544726721,"Within","Within",FALSE,0.645843308182477,0.333047775201219,0.0933055119178965
"Probe_14723",1.75492977531072,0.0532434815185099,0.0606001589762506,FALSE,0.598955002967347,0.686787237981192,0.0878322350138454,"Within","Equivocal",TRUE,0.37336539926669,0.208875788153925,0.0278359843938928
"Probe_14724",7.35091176897505,1.57992507965332e-11,2.66859480068047e-10,TRUE,0.515115019218398,0.640203227869639,0.125088208651241,"Within","Equivocal",TRUE,0.479952160873261,0.342764183437085,0.0858768766837318
"Probe_14725",6.75388509908453,1.56026080944116e-10,1.93831936442795e-09,TRUE,0.694076870515573,0.74705063638808,0.0529737658725071,"Equivocal","Equivocal",FALSE,0.263947619199013,0.311151566917944,0.049921824243676
"Probe_14726",3.07840351925375,0.000376060149083868,0.000673653861350972,TRUE,0.744779220824954,0.782464957200611,0.0376857363756565,"Equivocal","Equivocal",FALSE,0.211105320949751,0.23684299644173,0.0248529897367859
"Probe_14727",5.12208113990445,9.82274893646107e-08,4.90770812337089e-07,TRUE,0.545378171187301,0.656314616471776,0.110936445284475,"Within","Equivocal",TRUE,0.440512756731363,0.362555449926613,0.0918829583416111
"Probe_14728",2.98604013879543,0.000542431679697031,0.000934178199954262,TRUE,0.422276648916108,0.595805122156964,0.173528473240856,"Within","Within",FALSE,0.605676802634357,0.290692435393232,0.0690832082567949
