"scenario","K","n","p","rep","n_pairs","prop_corr_decrease","prop_corr_increase","prop_corr_equal","mean_signed_diff","mean_negative_diff"
"heteroscedastic",5,500,10,7,45,0.977777777777778,0.0222222222222222,0,-0.029876262372316,-0.0308385741044011
"heteroscedastic",5,500,10,8,45,0.977777777777778,0.0222222222222222,0,-0.0277549328321418,-0.0284675911395158
"heteroscedastic",5,500,10,9,45,0.955555555555556,0.0444444444444444,0,-0.0250030424505109,-0.0261823646880579
"heteroscedastic",5,500,10,10,45,0.955555555555556,0.0444444444444444,0,-0.0205253270200383,-0.0215186262959802
"heteroscedastic",5,500,10,11,45,0.933333333333333,0.0666666666666667,0,-0.0320367504662648,-0.034705959652052
"heteroscedastic",5,500,10,12,45,0.933333333333333,0.0666666666666667,0,-0.0218729635991927,-0.0237988620874627
"heteroscedastic",5,500,10,13,45,0.888888888888889,0.111111111111111,0,-0.0259928927299411,-0.0297778819832354
"heteroscedastic",5,500,10,14,45,0.933333333333333,0.0666666666666667,0,-0.029282661498556,-0.0318384687485152
"heteroscedastic",5,500,10,15,45,0.977777777777778,0.0222222222222222,0,-0.0233850134553295,-0.0240021447985178
"heteroscedastic",5,500,10,16,45,0.977777777777778,0.0222222222222222,0,-0.0211974993700104,-0.0217096945324513
"heteroscedastic",5,500,10,17,45,1,0,0,-0.020195073880718,-0.020195073880718
"heteroscedastic",5,500,10,18,45,0.888888888888889,0.111111111111111,0,-0.0131345083813101,-0.0151916640164315
"heteroscedastic",5,500,10,19,45,0.866666666666667,0.133333333333333,0,-0.0194543951778964,-0.023023321602187
"heteroscedastic",5,500,10,20,45,0.977777777777778,0.0222222222222222,0,-0.0250831712785685,-0.0256643181374581
"heteroscedastic",5,500,10,21,45,0.933333333333333,0.0666666666666667,0,-0.0223046307133261,-0.0245393810977452
"heteroscedastic",5,500,10,22,45,0.911111111111111,0.0888888888888889,0,-0.0287149622780493,-0.0316251821928235
"heteroscedastic",5,500,10,23,45,0.977777777777778,0.0222222222222222,0,-0.0274523582598086,-0.0281306649626961
"heteroscedastic",5,500,10,24,45,0.933333333333333,0.0666666666666667,0,-0.022834883309934,-0.0246168810646954
"heteroscedastic",5,500,10,25,45,0.933333333333333,0.0666666666666667,0,-0.0269868851427432,-0.0289564344991838
"heteroscedastic",5,500,10,26,45,0.955555555555556,0.0444444444444444,0,-0.0184070027518103,-0.0194182887823863
"heteroscedastic",5,500,10,27,45,0.911111111111111,0.0888888888888889,0,-0.0196857508341759,-0.0217819001333264
"heteroscedastic",5,500,10,28,45,0.955555555555556,0.0444444444444444,0,-0.0181608521454054,-0.0191049981050279
"heteroscedastic",5,500,10,29,45,1,0,0,-0.0243907934302189,-0.0243907934302189
"heteroscedastic",5,500,10,30,45,0.977777777777778,0.0222222222222222,0,-0.0249929999824504,-0.025564780941877
"heteroscedastic",5,500,10,31,45,0.8,0.2,0,-0.026798558417194,-0.0360710272510833
"heteroscedastic",5,500,10,32,45,0.822222222222222,0.177777777777778,0,-0.0226451712201005,-0.0279191255717001
"heteroscedastic",5,500,10,33,45,0.955555555555556,0.0444444444444444,0,-0.0217079354523924,-0.0228092753757188
"heteroscedastic",5,500,10,34,45,0.977777777777778,0.0222222222222222,0,-0.0270937154830984,-0.0279044675212337
