eta_b_waba,eta_b_iwaba,info_gain,radius_prop,scenario,K,n,p,rep
0.6708739820967832,0.6877859179612863,1.094435905316678,0.08628728722981042,Heteroscedastic,2,100,5,45
0.6249375293492079,0.6431732550726471,1.0761867076026437,0.07079320629443576,Heteroscedastic,2,100,5,46
0.6240480418234203,0.6520113965101166,1.1360417808620358,0.11975068448521886,Heteroscedastic,2,100,5,47
0.6726642532379233,0.6975539489156363,1.117844968840631,0.10542156750309772,Heteroscedastic,2,100,5,48
0.7179329118519233,0.7339932272099017,1.0703924278993098,0.06576319680947092,Heteroscedastic,2,100,5,49
0.654365938784321,0.663194165025253,1.0428850340123943,0.04112153556121002,Heteroscedastic,2,100,5,50
0.5974021651166643,0.6410636245430114,1.2243080805009585,0.18321212125723838,Heteroscedastic,2,100,5,51
0.6865213299191542,0.7045917136400359,1.0867039836177281,0.07978620206128567,Heteroscedastic,2,100,5,52
0.6796604661866031,0.6995690564124396,1.110078459863194,0.09916277438331704,Heteroscedastic,2,100,5,53
0.7210111259561417,0.730297883473986,1.0503456307501,0.04793244173743659,Heteroscedastic,2,100,5,54
0.7046961022726007,0.7236551197118126,1.0902555179070994,0.0827838212461955,Heteroscedastic,2,100,5,55
0.6172875674928999,0.6467838673501805,1.1379834303054752,0.12125258297340527,Heteroscedastic,2,100,5,56
0.6915078618717706,0.7042657284766193,1.0538565252507843,0.051104229048605995,Heteroscedastic,2,100,5,57
